customer_id,age,gender,city,income_band,card_type,credit_limit,join_date,account_status
C00040,37,Male,Hyderabad,Medium,Gold,200000,2022-04-25,Active
C00041,42,Male,Hyderabad,Low,Classic,50000,2021-10-09,Active
C00042,47,Male,Delhi,Medium,Classic,95000,2019-01-07,Active
C00043,36,Female,Delhi,Medium,Platinum,590000,2023-03-07,Active
C00044,36,Male,Pune,Medium,Gold,225000,2019-10-04,Inactive
C00045,60,Female,Hyderabad,Low,Platinum,480000,2023-08-28,Active
C00046,23,Male,Hyderabad,Low,Platinum,370000,2019-01-08,Active
C00047,53,Female,Ahmedabad,Low,Platinum,740000,2021-05-29,Active
C00048,62,Male,Ahmedabad,High,Platinum,670000,2020-09-24,Blocked
C00049,22,Female,Ahmedabad,Low,Gold,245000,2019-11-18,Inactive
C00050,59,Male,Ahmedabad,Low,Classic,120000,2020-02-25,Active
C00051,47,Female,Kolkata,Medium,Platinum,410000,2020-11-10,Active
C00052,35,Male,Pune,High,Gold,160000,2023-02-20,Active
C00053,27,Female,Hyderabad,Low,Classic,70000,2021-06-30,Active
C00054,62,Female,Kolkata,Low,Gold,290000,2023-01-23,Active
C00055,29,Male,Chennai,Medium,Gold,275000,2020-07-07,Active
C00056,61,Male,Kolkata,High,Platinum,590000,2022-12-19,Active
C00057,26,Female,Pune,Medium,Gold,345000,2020-07-08,Active
C00058,32,Female,Chennai,Low,Classic,100000,2023-10-29,Active
C00059,50,Male,Ahmedabad,Medium,Platinum,780000,2020-04-09,Blocked
C00060,40,Male,Delhi,High,Platinum,630000,2020-04-18,Active
C00061,40,Male,Chennai,Medium,Gold,315000,2019-08-05,Active
C00062,47,Male,Kolkata,Low,Classic,105000,2022-12-24,Inactive
C00063,40,Male,Mumbai,Low,Classic,90000,2022-01-14,Active
C00064,27,Female,Delhi,High,Gold,255000,2019-01-20,Active
C00065,60,Male,Mumbai,Medium,Classic,105000,2019-08-29,Active
C00066,60,Female,Bangalore,Medium,Classic,75000,2023-02-03,Active
C00067,50,Female,Mumbai,Low,Gold,175000,2020-05-17,Active
C00068,28,Male,Bangalore,Medium,Classic,140000,2023-11-16,Active
C00069,22,Female,Mumbai,Low,Classic,145000,2022-02-11,Inactive
C00070,34,Female,Kolkata,Low,Classic,75000,2020-06-08,Active
C00071,30,Male,Kolkata,High,Classic,130000,2021-08-29,Active
C00072,38,Male,Bangalore,Low,Gold,230000,2019-05-26,Active
C00073,38,Female,Ahmedabad,Low,Classic,130000,2020-10-13,Inactive
C00074,36,Female,Bangalore,High,Classic,150000,2020-06-12,Active
C00075,25,Male,Delhi,Low,Gold,195000,2020-06-18,Active
C00076,51,Male,Kolkata,Medium,Platinum,420000,2023-02-01,Active
C00077,57,Male,Hyderabad,Medium,Gold,215000,2019-06-27,Active
C00078,40,Male,Hyderabad,High,Classic,140000,2022-05-05,Active
C00079,43,Male,Delhi,High,Classic,135000,2023-04-15,Active
C00080,52,Female,Bangalore,Medium,Platinum,810000,2020-01-04,Active
C00081,62,Female,Hyderabad,Low,Classic,135000,2023-07-11,Active
C00082,37,Male,Hyderabad,Medium,Gold,270000,2019-06-23,Active
C00083,33,Female,Mumbai,High,Classic,130000,2021-09-05,Active
C00084,33,Male,Chennai,Low,Classic,70000,2020-12-04,Active
C00085,37,Male,Delhi,Medium,Platinum,640000,2021-12-05,Active
C00086,35,Male,Chennai,Low,Gold,295000,2020-07-28,Active
C00087,46,Male,Bangalore,Low,Gold,325000,2020-08-26,Active
C00088,64,Male,Mumbai,Low,Classic,100000,2020-07-02,Active
C00089,48,Female,Hyderabad,Low,Classic,125000,2023-07-01,Active
C00090,62,Male,Pune,High,Gold,340000,2022-11-19,Active
C00091,50,Female,Mumbai,High,Gold,280000,2022-09-19,Active
C00092,63,Male,Delhi,Medium,Classic,125000,2022-12-20,Active
C00093,55,Male,Kolkata,Medium,Classic,75000,2023-08-14,Active
C00094,42,Female,Bangalore,Medium,Classic,145000,2019-07-12,Active
C00095,30,Female,Mumbai,High,Platinum,490000,2020-07-29,Active
C00096,31,Male,Mumbai,High,Gold,260000,2020-11-22,Active
C00097,58,Female,Mumbai,Low,Platinum,820000,2023-08-05,Inactive
C00098,53,Female,Hyderabad,Medium,Classic,135000,2022-11-29,Active
C00099,26,Female,Bangalore,Medium,Platinum,480000,2022-10-08,Active
C00100,57,Male,Hyderabad,High,Classic,90000,2022-08-12,Active
C00101,27,Female,Mumbai,Medium,Gold,285000,2019-05-20,Active
C00102,64,Male,Kolkata,High,Platinum,770000,2021-07-05,Inactive
C00103,32,Female,Hyderabad,High,Classic,110000,2021-06-13,Inactive
C00104,27,Male,Hyderabad,Medium,Classic,135000,2023-01-17,Active
C00105,22,Male,Delhi,High,Classic,105000,2022-06-02,Inactive
C00106,21,Female,Ahmedabad,Low,Classic,75000,2020-01-31,Active
C00107,43,Male,Chennai,Low,Gold,255000,2019-12-06,Active
C00108,45,Male,Chennai,Medium,Gold,190000,2022-12-03,Active
C00109,38,Female,Ahmedabad,Low,Gold,235000,2023-07-24,Active
C00110,64,Female,Delhi,Low,Gold,250000,2020-03-03,Active
C00111,27,Male,Delhi,Medium,Gold,220000,2021-10-05,Active
C00112,23,Male,Pune,Medium,Classic,90000,2022-05-15,Active
C00113,49,Male,Ahmedabad,High,Classic,95000,2020-12-31,Inactive
C00114,30,Male,Hyderabad,High,Platinum,920000,2019-07-24,Active
C00115,63,Female,Pune,Medium,Classic,55000,2023-05-09,Active
C00116,25,Female,Hyderabad,Medium,Gold,215000,2021-01-09,Active
C00117,54,Male,Bangalore,Medium,Classic,150000,2022-10-26,Active
C00118,28,Male,Chennai,Medium,Gold,315000,2019-05-20,Active
C00119,34,Female,Hyderabad,Low,Gold,180000,2020-03-03,Active
C00120,60,Female,Bangalore,Medium,Classic,120000,2021-01-13,Active
C00121,26,Female,Ahmedabad,Medium,Classic,80000,2022-08-10,Active
C00122,21,Male,Kolkata,Low,Gold,205000,2021-02-08,Active
C00123,53,Male,Pune,High,Classic,80000,2022-12-22,Inactive
C00124,60,Male,Chennai,Medium,Classic,70000,2021-12-25,Active
C00125,31,Male,Ahmedabad,Low,Gold,340000,2020-09-03,Active
C00126,44,Male,Bangalore,Medium,Classic,150000,2021-05-06,Active
C00127,30,Female,Bangalore,Low,Platinum,620000,2020-09-12,Active
C00128,64,Male,Delhi,Low,Gold,315000,2021-01-14,Active
C00129,43,Female,Mumbai,High,Classic,55000,2023-07-28,Active
C00130,36,Male,Mumbai,High,Gold,190000,2019-08-12,Active
C00131,57,Male,Mumbai,Low,Gold,315000,2022-02-22,Active
C00132,36,Male,Bangalore,High,Classic,115000,2020-07-23,Active
C00133,64,Male,Hyderabad,Low,Classic,120000,2019-04-04,Active
C00134,51,Female,Ahmedabad,Low,Classic,105000,2021-11-23,Inactive
C00135,26,Male,Pune,Low,Classic,140000,2023-02-02,Active
C00136,50,Male,Mumbai,Low,Classic,120000,2023-09-15,Active
C00137,57,Female,Hyderabad,Low,Classic,75000,2019-01-18,Active
C00138,21,Male,Kolkata,High,Classic,95000,2022-05-04,Active
C00139,62,Male,Kolkata,Low,Gold,195000,2019-10-03,Inactive
C00140,45,Male,Chennai,Low,Gold,320000,2023-05-24,Active
C00141,41,Male,Pune,Medium,Gold,350000,2019-01-22,Active
C00142,55,Male,Pune,Low,Gold,330000,2022-11-22,Inactive
C00143,58,Male,Mumbai,Medium,Platinum,770000,2022-04-04,Active
C00144,25,Female,Bangalore,Medium,Gold,335000,2019-01-07,Active
C00145,32,Female,Delhi,Low,Gold,280000,2022-12-10,Blocked
C00146,25,Male,Kolkata,Medium,Classic,140000,2022-05-31,Active
C00147,29,Male,Bangalore,Low,Platinum,820000,2021-09-16,Active
C00148,64,Male,Ahmedabad,Low,Classic,105000,2019-07-14,Inactive
C00149,29,Female,Pune,Low,Classic,135000,2019-09-03,Active
C00150,55,Male,Kolkata,Medium,Gold,290000,2021-05-16,Inactive
C00151,21,Female,Hyderabad,Medium,Classic,125000,2022-01-01,Active
C00152,30,Female,Kolkata,Medium,Classic,75000,2022-01-07,Inactive
C00153,59,Male,Chennai,Medium,Gold,150000,2020-11-27,Active
C00154,56,Female,Pune,Medium,Gold,210000,2023-03-22,Active
C00155,57,Male,Bangalore,Low,Gold,335000,2021-08-19,Active
C00156,55,Male,Pune,High,Platinum,400000,2022-06-12,Active
C00157,37,Male,Ahmedabad,High,Classic,75000,2021-08-26,Active
C00158,33,Male,Delhi,Medium,Classic,105000,2019-01-06,Active
C00159,26,Female,Kolkata,Low,Gold,190000,2021-11-01,Inactive
C00160,57,Female,Delhi,Medium,Classic,145000,2021-03-11,Active
C00161,52,Male,Chennai,Low,Gold,340000,2019-01-06,Inactive
C00162,31,Female,Mumbai,Medium,Classic,60000,2021-02-05,Inactive
C00163,37,Male,Ahmedabad,Low,Classic,120000,2022-10-02,Active
C00164,25,Male,Bangalore,Medium,Gold,315000,2019-05-15,Inactive
C00165,26,Male,Pune,Low,Gold,305000,2020-01-13,Active
C00166,30,Female,Ahmedabad,High,Gold,250000,2019-01-20,Active
C00167,53,Female,Ahmedabad,Low,Classic,50000,2023-10-27,Active
C00168,50,Female,Bangalore,Medium,Classic,50000,2023-06-12,Active
C00169,41,Female,Delhi,High,Classic,100000,2023-01-03,Inactive
C00170,62,Male,Hyderabad,Low,Classic,60000,2020-02-12,Active
C00171,37,Male,Ahmedabad,High,Classic,95000,2019-07-01,Active
C00172,47,Male,Bangalore,Low,Classic,105000,2023-09-14,Active
C00173,23,Female,Kolkata,High,Gold,335000,2022-07-12,Active
C00174,49,Male,Ahmedabad,High,Classic,80000,2022-05-24,Active
C00175,22,Female,Delhi,Low,Gold,325000,2019-03-07,Active
C00176,49,Male,Hyderabad,High,Platinum,350000,2019-02-25,Active
C00177,56,Male,Mumbai,Low,Classic,50000,2020-04-24,Active
C00178,54,Male,Kolkata,Low,Classic,130000,2023-06-25,Active
C00179,57,Female,Mumbai,Low,Classic,100000,2021-04-03,Active
C00180,62,Male,Delhi,Low,Gold,160000,2021-12-14,Active
C00181,21,Male,Kolkata,Medium,Classic,95000,2023-02-26,Inactive
C00182,46,Male,Delhi,Medium,Classic,55000,2020-07-19,Active
C00183,21,Female,Mumbai,Medium,Gold,305000,2021-11-06,Active
C00184,24,Female,Delhi,Low,Classic,125000,2020-12-12,Active
C00185,59,Female,Kolkata,High,Gold,275000,2021-09-19,Active
C00186,34,Male,Chennai,Low,Gold,345000,2022-12-18,Blocked
C00187,38,Female,Bangalore,Low,Gold,340000,2019-04-24,Inactive
C00188,54,Female,Chennai,Medium,Classic,95000,2022-08-13,Active
C00189,21,Male,Hyderabad,High,Platinum,900000,2020-03-31,Active
C00190,42,Male,Delhi,Medium,Gold,325000,2019-05-11,Active
C00191,36,Male,Delhi,Medium,Classic,90000,2023-03-14,Active
C00192,42,Male,Kolkata,Low,Classic,70000,2020-06-05,Active
C00193,36,Female,Hyderabad,Low,Classic,80000,2021-02-18,Active
C00194,48,Female,Kolkata,Medium,Platinum,990000,2020-06-14,Blocked
C00195,48,Female,Bangalore,Medium,Platinum,460000,2023-01-14,Inactive
C00196,42,Male,Mumbai,Low,Gold,225000,2021-04-04,Inactive
C00197,26,Female,Ahmedabad,Medium,Platinum,820000,2019-08-19,Active
C00198,45,Male,Chennai,Medium,Classic,85000,2020-07-30,Active
C00199,62,Male,Bangalore,Medium,Classic,110000,2019-06-27,Active
C00200,22,Female,Mumbai,Low,Platinum,750000,2020-12-15,Active
C00201,27,Male,Mumbai,Medium,Gold,195000,2021-08-06,Inactive
C00202,37,Female,Delhi,Low,Classic,85000,2023-06-03,Inactive
C00203,55,Female,Hyderabad,Low,Gold,310000,2019-02-17,Active
C00204,40,Female,Pune,Medium,Platinum,690000,2020-11-22,Active
C00205,64,Male,Ahmedabad,Medium,Gold,330000,2023-08-07,Active
C00206,22,Female,Delhi,Medium,Platinum,500000,2019-03-30,Active
C00207,27,Female,Kolkata,Low,Gold,185000,2022-12-14,Active
C00208,52,Female,Pune,High,Classic,50000,2019-04-05,Inactive
C00209,39,Female,Ahmedabad,Low,Platinum,870000,2023-03-03,Active
C00210,32,Female,Hyderabad,High,Classic,60000,2019-02-26,Blocked
C00211,29,Male,Ahmedabad,Low,Platinum,890000,2020-08-12,Active
C00212,47,Female,Delhi,Low,Classic,75000,2022-12-18,Active
C00213,34,Female,Chennai,Low,Gold,205000,2022-09-23,Active
C00214,22,Female,Delhi,Low,Classic,120000,2023-11-21,Inactive
C00215,41,Female,Chennai,Medium,Classic,130000,2021-08-03,Active
C00216,24,Male,Pune,High,Classic,135000,2023-01-14,Inactive
C00217,41,Male,Bangalore,Low,Platinum,550000,2022-04-01,Active
C00218,42,Female,Bangalore,Medium,Platinum,550000,2022-05-24,Inactive
C00219,22,Male,Pune,High,Classic,130000,2022-11-19,Active
C00220,37,Male,Pune,Medium,Platinum,610000,2020-05-14,Active
C00221,39,Male,Delhi,Low,Platinum,820000,2022-12-02,Active
C00222,60,Male,Bangalore,High,Gold,325000,2022-02-16,Active
C00223,44,Female,Mumbai,Low,Classic,90000,2023-02-06,Active
C00224,40,Male,Ahmedabad,Medium,Platinum,810000,2019-08-16,Active
C00225,58,Male,Chennai,Medium,Gold,330000,2023-08-31,Active
C00226,32,Male,Pune,Low,Platinum,570000,2021-02-04,Active
C00227,45,Male,Kolkata,Medium,Platinum,840000,2022-12-31,Active
C00228,43,Male,Hyderabad,Low,Platinum,990000,2022-09-08,Blocked
C00229,54,Male,Chennai,Low,Gold,225000,2020-09-18,Blocked
C00230,52,Female,Delhi,Low,Classic,135000,2021-09-09,Inactive
C00231,44,Male,Bangalore,High,Classic,110000,2019-06-24,Active
C00232,62,Female,Bangalore,High,Classic,145000,2019-03-17,Active
C00233,45,Female,Ahmedabad,Low,Classic,125000,2021-11-13,Active
C00234,23,Female,Mumbai,Low,Gold,225000,2022-05-12,Active
C00235,45,Male,Bangalore,Low,Gold,320000,2021-03-10,Active
C00236,48,Male,Delhi,Medium,Platinum,660000,2021-08-06,Active
C00237,32,Male,Delhi,High,Classic,100000,2019-07-22,Active
C00238,46,Male,Hyderabad,High,Gold,285000,2020-05-05,Active
C00239,64,Male,Chennai,Medium,Classic,110000,2022-03-27,Active
C00240,28,Female,Kolkata,Medium,Classic,55000,2023-05-29,Active
C00241,25,Male,Ahmedabad,Low,Classic,60000,2022-11-25,Active
C00242,31,Male,Chennai,Low,Gold,300000,2020-09-14,Active
C00243,62,Male,Chennai,Medium,Classic,50000,2019-01-15,Active
C00244,55,Female,Kolkata,Medium,Gold,310000,2021-04-21,Active
C00245,47,Female,Ahmedabad,High,Classic,120000,2019-09-08,Inactive
C00246,61,Male,Hyderabad,Low,Platinum,690000,2019-10-03,Active
C00247,64,Male,Hyderabad,Low,Platinum,980000,2022-03-21,Active
C00248,58,Male,Hyderabad,Medium,Platinum,460000,2020-07-14,Inactive
C00249,39,Female,Mumbai,High,Platinum,870000,2020-07-04,Active
C00250,52,Female,Hyderabad,Medium,Platinum,780000,2021-05-30,Active
C00251,48,Female,Ahmedabad,Low,Platinum,800000,2022-11-28,Active
C00252,56,Male,Bangalore,High,Gold,200000,2019-01-17,Active
C00253,38,Female,Pune,Medium,Classic,75000,2023-09-16,Active
C00254,30,Female,Mumbai,Low,Classic,115000,2022-04-19,Active
C00255,52,Female,Kolkata,Low,Classic,55000,2021-03-21,Active
C00256,38,Female,Bangalore,Medium,Gold,320000,2022-10-19,Active
C00257,32,Male,Kolkata,Medium,Gold,250000,2020-11-30,Active
C00258,28,Male,Chennai,Medium,Platinum,860000,2023-11-06,Inactive
C00259,53,Male,Delhi,Medium,Platinum,820000,2021-02-27,Active
C00260,58,Female,Chennai,Low,Classic,115000,2020-09-11,Active
C00261,34,Female,Hyderabad,Low,Gold,240000,2021-05-17,Inactive
C00262,22,Male,Delhi,High,Platinum,380000,2022-08-12,Active
C00263,29,Male,Chennai,Medium,Classic,75000,2023-08-05,Active
C00264,64,Male,Mumbai,Medium,Gold,305000,2020-03-06,Active
C00265,25,Female,Hyderabad,Low,Classic,105000,2019-07-29,Active
C00266,54,Male,Chennai,Low,Gold,195000,2021-10-30,Active
C00267,39,Male,Delhi,Low,Classic,90000,2023-01-13,Active
C00268,27,Male,Bangalore,Low,Platinum,670000,2021-06-21,Active
C00269,59,Male,Chennai,Medium,Gold,215000,2020-10-30,Blocked
C00270,62,Female,Mumbai,High,Classic,85000,2019-10-13,Active
C00271,37,Female,Delhi,Low,Classic,135000,2021-01-20,Active
C00272,46,Male,Chennai,High,Classic,150000,2023-07-10,Inactive
C00273,47,Female,Bangalore,Medium,Platinum,760000,2023-08-20,Active
C00274,63,Male,Hyderabad,Low,Gold,325000,2023-04-08,Active
C00275,48,Female,Ahmedabad,Medium,Classic,145000,2019-05-25,Inactive
C00276,40,Male,Hyderabad,Low,Classic,70000,2021-12-04,Active
C00277,26,Male,Kolkata,Medium,Gold,345000,2022-10-22,Active
C00278,28,Male,Hyderabad,Low,Gold,255000,2019-10-18,Active
C00279,52,Male,Pune,Low,Gold,175000,2022-09-15,Inactive
C00280,39,Male,Delhi,Medium,Classic,125000,2021-08-19,Active
C00281,52,Female,Kolkata,Low,Gold,260000,2022-07-28,Active
C00282,39,Female,Kolkata,Low,Gold,190000,2019-01-17,Active
C00283,44,Male,Kolkata,Low,Platinum,550000,2023-05-06,Active
C00284,44,Female,Pune,Medium,Platinum,870000,2023-11-12,Active
C00285,37,Male,Kolkata,High,Gold,175000,2023-09-20,Active
C00286,38,Female,Bangalore,Low,Gold,150000,2022-05-17,Active
C00287,32,Female,Ahmedabad,Low,Classic,110000,2020-09-30,Active
C00288,61,Female,Bangalore,Medium,Platinum,620000,2020-02-12,Active
C00289,43,Male,Chennai,Low,Classic,60000,2020-05-26,Active
C00290,38,Male,Hyderabad,Medium,Classic,75000,2021-03-18,Active
C00291,36,Male,Delhi,Low,Classic,145000,2021-10-30,Active
C00292,36,Male,Pune,Medium,Platinum,740000,2022-08-01,Inactive
C00293,56,Female,Pune,Medium,Classic,65000,2023-03-02,Active
C00294,43,Male,Hyderabad,Low,Classic,75000,2020-01-27,Active
C00295,42,Male,Pune,Medium,Classic,105000,2022-12-25,Active
C00296,59,Male,Hyderabad,Medium,Classic,105000,2022-04-10,Active
C00297,53,Male,Ahmedabad,Low,Classic,80000,2022-10-26,Blocked
C00298,44,Female,Chennai,Low,Platinum,820000,2022-01-29,Active
C00299,40,Male,Chennai,Low,Platinum,410000,2019-09-30,Active
C00300,53,Female,Chennai,Medium,Classic,60000,2022-11-05,Active
C00301,51,Male,Mumbai,Low,Platinum,470000,2022-07-18,Inactive
C00302,60,Female,Mumbai,Medium,Gold,350000,2019-09-14,Active
C00303,28,Female,Pune,Medium,Classic,100000,2022-05-06,Active
C00304,30,Female,Delhi,High,Gold,340000,2020-09-12,Active
C00305,21,Female,Delhi,Medium,Platinum,570000,2019-01-20,Active
C00306,41,Male,Chennai,Medium,Classic,120000,2021-10-25,Active
C00307,45,Female,Bangalore,Medium,Classic,50000,2023-03-28,Inactive
C00308,52,Female,Delhi,High,Platinum,650000,2022-04-20,Active
C00309,30,Female,Pune,Low,Gold,310000,2019-07-18,Active
C00310,29,Female,Kolkata,Low,Classic,120000,2021-10-11,Active
C00311,40,Female,Mumbai,Low,Gold,325000,2023-09-14,Inactive
C00312,40,Male,Ahmedabad,Medium,Gold,325000,2023-01-26,Active
C00313,60,Male,Kolkata,Low,Platinum,480000,2023-05-01,Blocked
C00314,27,Male,Kolkata,Low,Gold,330000,2022-04-18,Active
C00315,31,Female,Pune,Medium,Classic,150000,2019-04-24,Active
C00316,41,Male,Pune,High,Gold,285000,2022-06-07,Active
C00317,58,Female,Mumbai,High,Gold,150000,2021-05-28,Active
C00318,39,Male,Ahmedabad,Medium,Classic,120000,2022-04-10,Active
C00319,35,Male,Hyderabad,Low,Gold,180000,2022-10-06,Active
C00320,26,Female,Kolkata,High,Platinum,660000,2021-11-23,Active
C00321,30,Female,Chennai,High,Classic,115000,2022-09-19,Active
C00322,36,Female,Ahmedabad,High,Gold,220000,2021-02-08,Active
C00323,31,Male,Kolkata,Medium,Classic,145000,2021-12-20,Active
C00324,55,Male,Pune,Low,Classic,50000,2023-04-01,Active
C00325,28,Male,Ahmedabad,Low,Classic,140000,2022-03-19,Active
C00326,48,Male,Bangalore,High,Classic,80000,2022-05-30,Inactive
C00327,23,Male,Ahmedabad,Low,Platinum,980000,2021-01-23,Active
C00328,22,Male,Chennai,Low,Classic,135000,2022-11-24,Active
C00329,34,Male,Kolkata,Medium,Gold,165000,2022-11-16,Active
C00330,49,Female,Mumbai,Low,Classic,135000,2021-05-11,Active
C00331,23,Male,Bangalore,High,Platinum,500000,2019-10-29,Active
C00332,21,Male,Delhi,Low,Gold,215000,2021-01-25,Active
C00333,35,Male,Hyderabad,Low,Gold,215000,2019-10-23,Active
C00334,40,Female,Pune,High,Classic,80000,2020-01-06,Inactive
C00335,42,Male,Mumbai,Low,Classic,110000,2023-04-04,Active
C00336,54,Male,Hyderabad,High,Classic,115000,2021-04-15,Active
C00337,53,Male,Pune,Medium,Platinum,760000,2020-12-29,Active
C00338,29,Female,Kolkata,Medium,Classic,110000,2022-09-08,Active
C00339,23,Female,Kolkata,Low,Gold,175000,2022-01-27,Active
C00340,22,Female,Pune,Medium,Gold,335000,2021-06-14,Active
C00341,24,Male,Ahmedabad,Low,Classic,100000,2021-07-06,Active
C00342,36,Female,Chennai,High,Gold,300000,2023-02-16,Active
C00343,53,Female,Bangalore,Low,Gold,160000,2021-05-13,Active
C00344,29,Female,Chennai,Low,Gold,150000,2022-10-09,Inactive
C00345,60,Female,Ahmedabad,High,Classic,125000,2023-01-24,Active
C00346,58,Male,Hyderabad,Medium,Classic,105000,2019-10-21,Inactive
C00347,38,Male,Kolkata,Medium,Classic,115000,2021-05-21,Active
C00348,36,Female,Mumbai,Medium,Platinum,840000,2023-01-20,Inactive
C00349,28,Female,Hyderabad,Low,Gold,160000,2022-06-22,Inactive
C00350,43,Male,Mumbai,Low,Classic,85000,2021-12-31,Active
C00351,56,Male,Kolkata,High,Platinum,880000,2022-11-11,Active
C00352,23,Female,Kolkata,Low,Classic,55000,2020-10-08,Active
C00353,35,Male,Hyderabad,Low,Platinum,630000,2019-03-12,Active
C00354,58,Male,Ahmedabad,Medium,Platinum,500000,2019-11-24,Active
C00355,53,Male,Chennai,Low,Platinum,930000,2023-05-13,Inactive
C00356,38,Female,Ahmedabad,Medium,Platinum,450000,2021-06-16,Active
C00357,43,Female,Kolkata,Medium,Classic,140000,2021-10-07,Active
C00358,63,Male,Hyderabad,High,Classic,140000,2020-12-07,Active
C00359,23,Female,Delhi,Low,Gold,305000,2023-06-07,Inactive
C00360,50,Male,Kolkata,Low,Classic,95000,2020-02-16,Inactive
C00361,37,Male,Chennai,High,Classic,130000,2020-09-14,Active
C00362,52,Female,Hyderabad,Low,Gold,305000,2021-09-23,Active
C00363,27,Male,Hyderabad,Medium,Classic,50000,2021-06-23,Active
C00364,59,Male,Bangalore,Medium,Platinum,770000,2022-09-11,Active
C00365,34,Female,Kolkata,Medium,Platinum,870000,2021-09-15,Active
C00366,35,Male,Chennai,Medium,Platinum,350000,2022-09-12,Inactive
C00367,64,Male,Bangalore,Low,Gold,295000,2022-09-15,Active
C00368,32,Female,Chennai,Medium,Platinum,950000,2023-07-19,Active
C00369,28,Female,Ahmedabad,Low,Platinum,680000,2021-06-04,Active
C00370,36,Male,Mumbai,High,Gold,335000,2020-01-05,Inactive
C00371,61,Male,Chennai,Low,Classic,85000,2020-04-22,Active
C00372,54,Female,Chennai,High,Platinum,880000,2022-09-10,Active
C00373,44,Female,Hyderabad,Medium,Platinum,870000,2020-06-18,Inactive
C00374,49,Male,Delhi,Low,Classic,145000,2019-07-24,Active
C00375,36,Female,Pune,Medium,Classic,115000,2020-06-15,Active
C00376,25,Female,Chennai,Low,Gold,290000,2023-01-26,Active
C00377,25,Female,Bangalore,Low,Classic,150000,2022-09-09,Active
C00378,50,Male,Delhi,Low,Platinum,600000,2020-09-27,Active
C00379,25,Male,Ahmedabad,High,Platinum,970000,2019-05-26,Active
C00380,63,Male,Chennai,Low,Classic,145000,2019-10-15,Active
C00381,33,Male,Delhi,High,Gold,255000,2022-02-01,Active
C00382,55,Female,Ahmedabad,Low,Classic,85000,2022-02-17,Blocked
C00383,45,Male,Mumbai,Medium,Gold,275000,2020-03-24,Inactive
C00384,34,Female,Delhi,High,Classic,130000,2020-08-27,Active
C00385,64,Male,Mumbai,High,Gold,270000,2019-08-17,Inactive
C00386,46,Female,Delhi,Low,Classic,70000,2022-06-01,Blocked
C00387,38,Male,Delhi,Medium,Classic,60000,2023-05-25,Active
C00388,40,Male,Bangalore,Low,Classic,135000,2020-12-01,Active
C00389,54,Male,Pune,Low,Classic,95000,2021-03-13,Inactive
C00390,27,Female,Bangalore,Medium,Gold,325000,2020-10-18,Inactive
